,Age,Female,Male,County
0,0 - 10,99512,105009,Baringo
1,10 - 20,68871,74231,Baringo
2,20- 30,44128,39129,Baringo
3,30 - 40,25790,23959,Baringo
4,40 - 50,16191,15343,Baringo
5,50 - 60,9814,10464,Baringo
6,60 - 70,5969,6094,Baringo
7,70 - 80,2516,2188,Baringo
8,80+,3630,2603,Baringo
0,0 - 10,142111,147280,Bomet
1,20-Oct,111724,111911,Bomet
2,20 - 30,82886,72933,Bomet
3,30 - 40,46359,48301,Bomet
4,40 - 50,27570,26864,Bomet
5,50 - 60,16584,17223,Bomet
6,60 - 70,9858,9313,Bomet
7,70 - 80,6288,5031,Bomet
8,80+,5415,3739,Bomet
0,0 - 10,237399,237467,Bungoma
1,Oct-20,173570,174305,Bungoma
2,20 - 30,115210,100723,Bungoma
3,30 - 40,70121,64021,Bungoma
4,40 - 50,45828,41367,Bungoma
5,50 - 60,29202,26270,Bungoma
6,60 - 70,16348,14213,Bungoma
7,70 - 80,9892,8453,Bungoma
8,80+,5685,4403,Bungoma
0,0 - 10,125427,124432,Busia
1,10 - 20,96096,96055,Busia
2,20 - 30,63523,51772,Busia
3,30 - 40,37560,31978,Busia
4,40 - 50,25919,20673,Busia
5,50 - 60,17525,13925,Busia
6,60 - 70,10887,8707,Busia
7,70 - 80,7142,5628,Busia
8,80+,3579,2764,Busia
0,0 - 10,58884,59874,ElgeyoMarakwet
1,Oct-20,46670,47723,ElgeyoMarakwet
2,20 - 30,31340,28593,ElgeyoMarakwet
3,30 - 40,18812,18654,ElgeyoMarakwet
4,40 - 50,11855,11448,ElgeyoMarakwet
5,50 - 60,7608,7919,ElgeyoMarakwet
6,60 - 70,5322,4940,ElgeyoMarakwet
7,70 - 80,3040,2691,ElgeyoMarakwet
8,80+,2681,1848,ElgeyoMarakwet
0,0 - 10,65372,66474,Embu
1,10 - 20,55970,58219,Embu
2,20 - 30,45835,43086,Embu
3,30 - 40,34650,33198,Embu
4,40 - 50,24402,22671,Embu
5,50 - 60,14994,14070,Embu
6,60 - 70,9314,8097,Embu
7,70 - 80,5896,4989,Embu
8,80+,5362,3360,Embu
0,0 - 10,92557,105304,Garissa
1,10 - 20,78072,103172,Garissa
2,20 - 30,49103,50200,Garissa
3,30 - 40,32624,28408,Garissa
4,40 - 50,17955,21881,Garissa
5,50 - 60,7964,12559,Garissa
6,60 - 70,4543,7019,Garissa
7,70 - 80,2730,3720,Garissa
8,80+,2420,2472,Garissa
0,0 - 10,163577,164060,HomaBay
1,Oct-20,121278,126119,HomaBay
2,20 - 30,86325,70010,HomaBay
3,30 - 40,46352,39272,HomaBay
4,40 - 50,31761,23038,HomaBay
5,50 - 60,22775,17864,HomaBay
6,60 - 70,14544,11314,HomaBay
7,70 - 80,9246,6864,HomaBay
8,80+,5316,3726,HomaBay
0,0 - 10,21573,22891,Isiolo
1,10 - 20,16953,17909,Isiolo
2,20 - 30,12609,12469,Isiolo
3,30 - 40,7119,7666,Isiolo
4,40 - 50,4702,5267,Isiolo
5,50 - 60,2866,3601,Isiolo
6,60 - 70,1703,1945,Isiolo
7,70 - 80,1134,1188,Isiolo
8,80+,914,702,Isiolo
0,0 - 10,101993,104612,Kajiado
1,Oct-20,73480,72478,Kajiado
2,20 - 30,79624,69651,Kajiado
3,30 - 40,42836,48602,Kajiado
4,40 - 50,21973,26090,Kajiado
5,50 - 60,10461,12621,Kajiado
6,60 - 70,5763,6021,Kajiado
7,70 - 80,3162,2968,Kajiado
8,80+,2718,1939,Kajiado
0,0 - 10,276414,274175,Kakamega
1,Oct-20,204142,204950,Kakamega
2,20 - 30,141942,117859,Kakamega
3,30 - 40,87853,76584,Kakamega
4,40 - 50,61024,51487,Kakamega
5,50 - 60,41385,36349,Kakamega
6,60 - 70,24062,20621,Kakamega
7,70 - 80,14445,12121,Kakamega
8,80+,7886,6279,Kakamega
0,0 - 10,88627,91831,Kericho
1,Oct-20,70005,70329,Kericho
2,20 - 30,57325,54031,Kericho
3,30 - 40,32276,37119,Kericho
4,40 - 50,19301,20808,Kericho
5,50 - 60,11206,12576,Kericho
6,60 - 70,6141,6523,Kericho
7,70 - 80,3778,3220,Kericho
8,80+,3009,2266,Kericho
0,0 - 10,201383,203364,Kiambu
1,10 - 20,167891,161726,Kiambu
2,20 - 30,191610,170215,Kiambu
3,30 - 40,125333,133602,Kiambu
4,40 - 50,72516,78706,Kiambu
5,50 - 60,38033,40566,Kiambu
6,60 - 70,24267,22281,Kiambu
7,70 - 80,13633,10654,Kiambu
8,80+,10918,6130,Kiambu
0,0 - 10,183234,184896,Kilifi
1,Oct-20,134960,136855,Kilifi
2,20 - 30,99363,76989,Kilifi
3,30 - 40,61976,54593,Kilifi
4,40 - 50,36310,33354,Kilifi
